<<<<<<< HEAD
Entity,Relation,Action,Value,Iteration of Promotion,Action Source,Action Date
spanish,languageofcountry,"nlanguageofcity,language,city",tucson,215,anonymous-fa6288e6-93b87bf5-a918d6dd,2012-09-12T11:48:35-04:00
tarantulas,arthropodandotherarthropod,"yarthropodcalledarthropod,arthropod,arthropod",spiders,556,anonymous-90709515-348688ba-0f5cd718,2012-08-19T16:08:31-04:00
spiders,arthropodandotherarthropod,"narthropodcalledarthropod,arthropod,arthropod",black_widow_spiders,680,anonymous-5aa1750e-aa82da29-2843fab5,2012-10-29T20:48:28-04:00
algiers,citycapitalofcountry,"ycountrycities,country,country",algeria,689,anonymous-73c6ab72-dc132ab6-7d86234c,2012-10-02T10:10:48-04:00
beds,itemfoundinroom,"yroomcancontainfurniture,room,room",smoking_room,665,anonymous-491d0a40-3fc8fb8d-21eb23ed,2012-07-19T13:42:39-04:00
beds,itemfoundinroom,"yfurniturefoundinroom,furniture,room",porch,665,anonymous-e9f72a31-3afd7b16-0f5cd718,2012-08-24T01:11:06-04:00
beds,itemfoundinroom,"nfurniturefoundinroom,furniture,room",baths,605,anonymous-fb7e332b-d285565f-0f5cd718,2012-09-09T12:24:54-04:00
beds,itemfoundinroom,"yfurniturefoundinroom,furniture,room",studio_rooms,275,anonymous-575b516a-30123184-e31bf044,2012-09-16T12:08:32-04:00
beds,itemfoundinroom,"yfurniturefoundinroom,furniture,room",dorm_room,634,anonymous-db090d85-715e45bd-0f5cd718,2012-09-16T21:17:08-04:00
bed,itemfoundinroom,"yroomcancontainfurniture,room,room",smoking_room,289,anonymous-491d0a40-3fc8fb8d-21eb23ed,2012-07-19T13:42:40-04:00
bed,itemfoundinroom,"nfurniturefoundinroom,furniture,room",porch,616,anonymous-879b150b-72cc26fc-0f5cd718,2012-08-22T01:13:22-04:00
bed,itemfoundinroom,"nfurniturefoundinroom,furniture,room",front_room,263,anonymous-7013540c-25ecdff2-0f5cd718,2012-08-26T23:00:42-04:00
three_rivers_stadium,attractionofcity,"ybuildinglocatedincity,building,city",pittsburgh,689,anonymous-ff8bba2c-4140b3c6-b7c6eb12,2012-11-03T03:39:10-04:00
advise_and_consent,bookwriter,"nbookwriter,book,writer",allen_drury,599,anonymous-72c28a40-859f56b8-0f5cd718,2012-12-08T13:08:37-05:00
chris_gethard,haswikipediaurl,"yhaswikipediaurl,male,http",//en.wikipedia.org/wiki/Chris%20Gethard,656,anonymous-6d569e0f-e542ad65-42facfce,2012-12-08T15:29:29-05:00
a_fall_of_moondust,bookwriter,"ybookwriter,book,writer",arthur_c__clarke,587,anonymous-3eb85fe1-a1b82c08-242af1a5,2012-12-09T08:32:54-05:00
a_fall_of_moondust,haswikipediaurl,"yhaswikipediaurl,book,http",//en.wikipedia.org/wiki/A%20Fall%20of%20Moondust,653,anonymous-3eb85fe1-a1b82c08-242af1a5,2012-12-09T08:34:02-05:00
scotland_today,haswikipediaurl,"yhaswikipediaurl,televisionshow,http",//en.wikipedia.org/wiki/Scotland%20Today,655,anonymous-3eb85fe1-a1b82c08-242af1a5,2012-12-09T08:35:18-05:00
long_way_round,haswikipediaurl,"yhaswikipediaurl,televisionshow,http",//en.wikipedia.org/wiki/Long%20Way%20Round,655,anonymous-3eb85fe1-a1b82c08-242af1a5,2012-12-09T08:36:49-05:00
the_venturers,haswikipediaurl,"yhaswikipediaurl,televisionshow,http",//en.wikipedia.org/wiki/The%20Venturers,653,anonymous-3eb85fe1-a1b82c08-242af1a5,2012-12-09T08:39:04-05:00
the_pallisers,haswikipediaurl,"yhaswikipediaurl,televisionshow,http",//en.wikipedia.org/wiki/The%20Pallisers,655,anonymous-3eb85fe1-a1b82c08-242af1a5,2012-12-09T08:41:06-05:00
the_brain_drain,haswikipediaurl,"yhaswikipediaurl,televisionshow,http",//en.wikipedia.org/wiki/The%20Brain%20Drain,655,anonymous-3eb85fe1-a1b82c08-242af1a5,2012-12-09T08:42:35-05:00
the_nfl_today,haswikipediaurl,"yhaswikipediaurl,televisionshow,http",//en.wikipedia.org/wiki/The%20NFL%20Today,655,anonymous-3eb85fe1-a1b82c08-242af1a5,2012-12-09T08:45:06-05:00
the_young_lawyers,haswikipediaurl,"yhaswikipediaurl,televisionshow,http",//en.wikipedia.org/wiki/The%20Young%20Lawyers,653,anonymous-3eb85fe1-a1b82c08-242af1a5,2012-12-09T08:46:08-05:00
the_othersiders,haswikipediaurl,"yhaswikipediaurl,televisionshow,http",//en.wikipedia.org/wiki/The%20Othersiders,655,anonymous-3eb85fe1-a1b82c08-242af1a5,2012-12-09T08:48:24-05:00
east_ham_baptist_church,placeofworshippracticesreligion,"yreligionusesplaceofworship,religion,religion",baptist,689,anonymous-761f29fb-693bef9e-242af1a5,2012-12-09T19:16:27-05:00
congo,countryalsoknownas,"ncountryalsoknownas,country,country",indonesia,239,anonymous-61366459-cb0e5285-242af1a5,2012-12-11T19:44:37-05:00
indonesia,countryalsoknownas,"ncountryalsoknownas,country,country",congo,245,anonymous-61366459-cb0e5285-242af1a5,2012-12-11T19:44:39-05:00
palembang,citylocatedincountry,"ycountrycities,country,country",indonesia,689,anonymous-61366459-cb0e5285-242af1a5,2012-12-11T19:44:41-05:00
dioxin,chemicalistypeofchemical,"nchemicalistypeofchemical,chemical,chemical",chemicals,664,anonymous-7a3d873b-1c6e2b4b-7dbdd8c5,2012-12-12T06:56:28-05:00
maple,plantincludeplant,"nplantincludeplant,plant,plant",hard_woods,664,anonymous-7a3d873b-1c6e2b4b-7dbdd8c5,2012-12-12T06:56:37-05:00
peter_gavin,haswikipediaurl,"yhaswikipediaurl,person,http",//en.wikipedia.org/wiki/Peter%20Gavin%20(Canadian%20politician),658,anonymous-335581d4-a8d0a023-77f52f1b,2012-12-13T03:25:29-05:00
nitrogen_oxides,chemicalistypeofchemical,"ychemicalistypeofchemical,chemical,chemical",gas,664,anonymous-c95203d3-5166cdb4-279ea147,2012-12-13T08:26:26-05:00
cookie,bakedgoodservedwithbeverage,"ybakedgoodservedwithbeverage,bakedgood,beverage",chocolate,683,anonymous-c95203d3-5166cdb4-279ea147,2012-12-13T08:27:51-05:00
jamie_lee_curtis,actorstarredinmovie,"yactorstarredinmovie,actor,movie",halloween,665,anonymous-0971f58d-a4aa2a74-77f52f1b,2012-12-14T18:00:14-05:00
spanish,languageofuniversity,"ylanguageofuniversity,language,university",state_university,667,anonymous-92baddcd-b0f1454f-9fead92c,2012-12-15T01:52:03-05:00
angels___demons,bookwriter,"ybookwriter,book,writer",dan_brown,667,anonymous-de9da723-8c0eeb33-aaab5ab1,2012-12-15T21:04:08-05:00
