"Entity"	"Relation"	"Action"	"Value"	"Iteration of Promotion"	"Action Source"	"Action Date"
"rugby"	"sportschoolincountry"	"ysportfansincountry,sport,country"	"argentina"	"667"	"anonymous-f324290b-7c35c16f-0f5cd718"	"2012-09-18T00:58:49-04:00"
"spanish"	"languageofcountry"	"nlanguageofcity,language,city"	"tucson"	"215"	"anonymous-fa6288e6-93b87bf5-a918d6dd"	"2012-09-12T11:48:35-04:00"
"midges"	"animalsuchasinvertebrate"	"nanimalsuchasinsect,animal,insect"	"insects"	"667"	"anonymous-c7543bdd-baf66d4f-fed27e92"	"2012-11-21T14:36:30-05:00"
"tarantulas"	"arthropodandotherarthropod"	"yarthropodcalledarthropod,arthropod,arthropod"	"spiders"	"556"	"anonymous-90709515-348688ba-0f5cd718"	"2012-08-19T16:08:31-04:00"
"spiders"	"arthropodandotherarthropod"	"narthropodcalledarthropod,arthropod,arthropod"	"black_widow_spiders"	"667"	"anonymous-5aa1750e-aa82da29-2843fab5"	"2012-10-29T20:48:28-04:00"
"tokyo"	"citycapitalofcountry"	"ycitylocatedincountry,city,country"	"japan"	"667"	"anonymous-fb7e332b-d285565f-0f5cd718"	"2012-09-09T12:28:52-04:00"
"hiroshima"	"citycapitalofcountry"	"ycitylocatedincountry,city,country"	"japan"	"667"	"anonymous-25628de8-0f00b332-0f5cd718"	"2012-09-12T13:01:52-04:00"
"hiroshima"	"citycapitalofcountry"	"ycitylocatedincountry,city,country"	"japan"	"667"	"anonymous-416cc61c-29aba0f4-0f5cd718"	"2012-09-13T21:26:48-04:00"
"algiers"	"citycapitalofcountry"	"ycountrycities,country,country"	"algeria"	"667"	"anonymous-73c6ab72-dc132ab6-7d86234c"	"2012-10-02T10:10:48-04:00"
"mary"	"parentofperson"	"ymotherofperson,female,person"	"jesus_christ"	"665"	"anonymous-8a1eec79-43f95efe-3692a0bb"	"2012-09-15T12:39:10-04:00"
"beds"	"itemfoundinroom"	"yroomcancontainfurniture,room,room"	"smoking_room"	"665"	"anonymous-491d0a40-3fc8fb8d-21eb23ed"	"2012-07-19T13:42:39-04:00"
"beds"	"itemfoundinroom"	"yfurniturefoundinroom,furniture,room"	"bunk_bed"	"622"	"anonymous-90709515-348688ba-0f5cd718"	"2012-08-19T15:41:30-04:00"
"beds"	"itemfoundinroom"	"yfurniturefoundinroom,furniture,room"	"porch"	"665"	"anonymous-e9f72a31-3afd7b16-0f5cd718"	"2012-08-24T01:11:06-04:00"
"beds"	"itemfoundinroom"	"yfurniturefoundinroom,furniture,room"	"apartment"	"623"	"anonymous-e9f72a31-3afd7b16-0f5cd718"	"2012-08-24T01:25:33-04:00"
"beds"	"itemfoundinroom"	"nfurniturefoundinroom,furniture,room"	"baths"	"625"	"anonymous-fb7e332b-d285565f-0f5cd718"	"2012-09-09T12:24:54-04:00"
"beds"	"itemfoundinroom"	"-itemfoundinroom,,"	"baths"	"625"	"bkisiel"	"2012-12-10T15:11:17-05:00"
"beds"	"itemfoundinroom"	"-itemfoundinroom,furniture,room"	"baths"	"625"	"bkisiel"	"2012-12-10T15:11:17-05:00"
"beds"	"itemfoundinroom"	"yfurniturefoundinroom,furniture,room"	"studio_rooms"	"275"	"anonymous-575b516a-30123184-e31bf044"	"2012-09-16T12:08:32-04:00"
"beds"	"itemfoundinroom"	"yfurniturefoundinroom,furniture,room"	"dorm_room"	"634"	"anonymous-db090d85-715e45bd-0f5cd718"	"2012-09-16T21:17:08-04:00"
"sleeper_sofa"	"itemfoundinroom"	"nfurniturefoundinroom,furniture,room"	"area"	"262"	"anonymous-90709515-348688ba-0f5cd718"	"2012-08-19T16:16:45-04:00"
"size_sofa_bed"	"itemfoundinroom"	"nfurniturefoundinroom,furniture,room"	"area"	"302"	"anonymous-e9f72a31-3afd7b16-0f5cd718"	"2012-08-24T01:35:14-04:00"
"size_sofa_bed"	"itemfoundinroom"	"-1furniture"	"area"	"302"	"bkisiel"	"2012-12-10T15:11:13-05:00"
"size_sofa_bed"	"itemfoundinroom"	"-itemfoundinroom,,"	"area"	"302"	"bkisiel"	"2012-12-10T15:11:14-05:00"
"size_sofa_bed"	"itemfoundinroom"	"-itemfoundinroom,furniture,room"	"area"	"302"	"bkisiel"	"2012-12-10T15:11:14-05:00"
"bed"	"itemfoundinroom"	"yroomcancontainfurniture,room,room"	"smoking_room"	"289"	"anonymous-491d0a40-3fc8fb8d-21eb23ed"	"2012-07-19T13:42:40-04:00"
"bed"	"itemfoundinroom"	"nfurniturefoundinroom,furniture,room"	"porch"	"616"	"anonymous-879b150b-72cc26fc-0f5cd718"	"2012-08-22T01:13:22-04:00"
"bed"	"itemfoundinroom"	"nfurniturefoundinroom,furniture,room"	"front_room"	"263"	"anonymous-7013540c-25ecdff2-0f5cd718"	"2012-08-26T23:00:42-04:00"
"bed"	"itemfoundinroom"	"nfurniturefoundinroom,furniture,room"	"master"	"262"	"anonymous-12c765c5-9d0d1654-0f5cd718"	"2012-09-01T01:05:03-04:00"
"bed"	"itemfoundinroom"	"nfurniturefoundinroom,furniture,room"	"master"	"262"	"anonymous-3ed3d9da-84e61946-0f5cd718"	"2012-09-02T00:37:41-04:00"
"bed"	"itemfoundinroom"	"yfurniturefoundinroom,furniture,room"	"property"	"299"	"anonymous-3ed3d9da-84e61946-0f5cd718"	"2012-09-02T01:04:43-04:00"
"size"	"itemfoundinroom"	"nfurniturefoundinroom,furniture,room"	"guest_room"	"313"	"anonymous-fb7e332b-d285565f-0f5cd718"	"2012-09-09T12:28:31-04:00"
"steven_ballmer"	"worksfor"	"yceoof,ceo,company"	"microsoft"	"209"	"anonymous-7943fe77-1dd949ac-e744ac17"	"2012-11-28T17:32:20-05:00"
"three_rivers_stadium"	"attractionofcity"	"ybuildinglocatedincity,building,city"	"pittsburgh"	"667"	"anonymous-ff8bba2c-4140b3c6-b7c6eb12"	"2012-11-03T03:39:10-04:00"
"andrew_young"	"personleadsgeopoliticalorganization"	"ypersonleadscity,politician,city"	"atlanta"	"667"	"anonymous-4be61fe5-0f5ccc19-c7b248db"	"2012-09-24T08:12:54-04:00"
"kurt_warner"	"personbelongstoorganization"	"yathleteplaysinleague,athlete,sportsleague"	"nfl"	"667"	"anonymous-2236d8b2-5365052c-971284cf"	"2012-11-20T20:08:15-05:00"
"kingdome"	"stadiumlocatedincity"	"yattractionofcity,attraction,city"	"seattle"	"667"	"anonymous-5b3de3e7-142a5cdc-971284cf"	"2012-11-29T14:07:00-05:00"
"advise_and_consent"	"bookwriter"	"nbookwriter,book,writer"	"allen_drury"	"599"	"anonymous-72c28a40-859f56b8-0f5cd718"	"2012-12-08T13:08:37-05:00"
"longwood"	"citylocatedinstate"	"ycitylocatedinstate,city,stateorprovince"	"florida"	"667"	"anonymous-00d38786-a86fcef7-64c08ed9"	"2012-12-08T15:26:39-05:00"
"chris_gethard"	"haswikipediaurl"	"yhaswikipediaurl,male,http"	"//en.wikipedia.org/wiki/Chris%20Gethard"	"656"	"anonymous-6d569e0f-e542ad65-42facfce"	"2012-12-08T15:29:29-05:00"
"training"	"subpartof"	"nsubpartof,everypromotedthing,everypromotedthing"	"water"	"661"	"anonymous-278db3f4-4089351f-242af1a5"	"2012-12-09T01:32:03-05:00"
"training"	"subpartof"	"-subpartof,,"	"water"	"661"	"bkisiel"	"2012-12-10T15:09:44-05:00"
